6,19
6,16
6,57
6,59
6,60
6,8
6,5
6,62
6,8
6,3
6,7
6,3
6,67
6,3
6,5
6,62
6,8
6,21
6,62
6,5
6,11
6,81
6,8
6,67
6,60
6,9
6,8
6,34
6,67
6,3
6,5
6,60
6,72
6,83
6,16
6,72
6,27
6,3
6,25
6,59
6,60
6,67
6,19
2,31
2,28
2,39
2,50
2,16
2,26
2,39
2,16
2,28
2,14
2,40
2,43
2,40
2,36
2,5
2,43
2,39
2,14
2,36
2,11
2,26
2,19
2,25
2,26
2,5
2,27
2,50
2,13
13,65
13,50
13,25
13,27
13,19
13,26
13,5
13,65
13,16
13,39
13,36
13,54
13,5
13,39
13,5
13,14
13,40
13,35
13,57
13,36
13,14
36,46
36,76
36,39
36,63
36,43
36,46
36,5
36,39
36,13
36,54
36,5
36,39
36,2
36,43
36,14
36,2
36,57
36,35
